,__run_id,__done,generation,model_size,task,run,rep,duration_ms,cpu_joules,gpu_joules,energy_consumption_total_joules,response_length_sum_characters,response_token_count,accuracy
397,run_4_repetition_0,DONE,2.0,7B,WiC,4,0,201673.0,10735.04895019537,72594.08175019539,83329.13070039076,53640.0,13138.0,1.0
398,run_9_repetition_11,DONE,3.0,8B,RTE,9,11,198864.0,10672.237548828127,70495.12314882819,81167.36069765632,58692.0,11756.0,0.96
399,run_19_repetition_18,DONE,3.2,1B,CB,19,18,54824.0,3205.71240234375,17665.13900234375,20870.8514046875,77844.0,15678.0,1.0
400,run_20_repetition_24,DONE,3.2,1B,COPA,20,24,44814.0,2610.346313476566,14125.314113476572,16735.660426953138,63385.0,13054.0,0.975
401,run_23_repetition_21,DONE,3.2,1B,WSC,23,21,27812.0,1538.1434936523474,8601.408493652345,10139.551987304692,32024.0,7910.0,0.8666666666666666
402,run_14_repetition_13,DONE,3.1,8B,COPA,14,13,210888.0,11200.309204101562,75435.44500410152,86635.75420820308,59483.0,12455.0,1.0
403,run_25_repetition_17,DONE,3.2,3B,CB,25,17,108845.0,6096.109863281257,37126.39206328132,43222.501926562574,67961.0,13729.0,0.9666666666666668
404,run_10_repetition_16,DONE,3.0,8B,WiC,10,16,249913.0,13208.7900390625,88151.79803906253,101360.58807812503,63663.0,14810.0,0.9595959595959596
405,run_7_repetition_21,DONE,3.0,8B,CB,7,21,221670.0,11896.640502929688,78989.7877029298,90886.42820585948,65239.0,13110.0,0.975
406,run_21_repetition_6,DONE,3.2,1B,RTE,21,6,36817.0,2217.0371704101562,11821.151170410163,14038.18834082032,51479.0,10444.0,0.96
407,run_19_repetition_7,DONE,3.2,1B,CB,19,7,53817.0,3180.5897827148438,17048.629982714836,20229.21976542968,77844.0,15678.0,1.0
408,run_0_repetition_26,DONE,2.0,7B,BoolQ,0,26,211905.0,11223.052490234375,76073.27749023438,87296.32998046876,57714.0,13756.0,0.8800000000000001
409,run_1_repetition_6,DONE,2.0,7B,CB,1,6,211878.0,11243.674743652344,76163.3419436523,87407.01668730464,61276.0,13678.0,1.0
410,run_26_repetition_3,DONE,3.2,3B,COPA,26,3,93840.0,5162.828369140596,31983.385169140605,37146.2135382812,56710.0,11903.0,0.95
411,run_13_repetition_23,DONE,3.1,8B,CB,13,23,159664.0,8517.078247070312,56923.822047070265,65440.90029414058,46101.0,9343.0,1.0
412,run_6_repetition_10,DONE,3.0,8B,BoolQ,6,10,120658.0,6385.8634033203125,43050.77120332029,49436.634606640604,33226.0,7085.0,1.0
413,run_10_repetition_1,DONE,3.0,8B,WiC,10,1,250715.0,13397.683044433594,89205.07664443363,102602.75968886723,63663.0,14810.0,0.975
414,run_5_repetition_17,DONE,2.0,7B,WSC,5,17,178888.0,9698.496704101562,64524.614504101606,74223.11120820316,45028.0,11578.0,1.0
415,run_22_repetition_11,DONE,3.2,1B,WiC,22,11,42820.0,2505.4246826172166,13581.74488261722,16087.169565234437,55242.0,12413.0,0.9142857142857143
416,run_5_repetition_13,DONE,2.0,7B,WSC,5,13,177686.0,9512.585876464844,63846.28827646481,73358.87415292965,45028.0,11578.0,0.9
417,run_20_repetition_21,DONE,3.2,1B,COPA,20,21,44822.0,2693.1780395507812,14497.166839550779,17190.34487910156,63385.0,13054.0,1.0
418,run_10_repetition_23,DONE,3.0,8B,WiC,10,23,250703.0,13434.733093261719,88822.35129326172,102257.08438652343,63663.0,14810.0,0.9568181818181818
419,run_9_repetition_20,DONE,3.0,8B,RTE,9,20,198673.0,10861.065856933594,71638.06525693364,82499.13111386723,58692.0,11756.0,0.9692307692307693
420,run_3_repetition_22,DONE,2.0,7B,RTE,3,22,188879.0,10131.06170654294,68049.56150654296,78180.6232130859,54273.0,12250.0,0.95
421,run_19_repetition_5,DONE,3.2,1B,CB,19,5,53819.0,3220.4140014648146,17507.8312014648,20728.245202929615,77844.0,15678.0,0.8214285714285715
422,run_5_repetition_27,DONE,2.0,7B,WSC,5,27,178877.0,9667.599243164092,64383.00504316413,74050.60428632822,45028.0,11578.0,0.95
423,run_0_repetition_13,DONE,2.0,7B,BoolQ,0,13,211881.0,11491.421142578096,76437.15094257805,87928.57208515615,57714.0,13756.0,0.86
