__run_id,__done,generation,model_size,task,energy
run_15_repetition_27,DONE,3.1,8B,RTE,9275.408447265625
run_17_repetition_23,DONE,3.1,8B,WSC,7419.258728027344
run_13_repetition_13,DONE,3.1,8B,CB,9635.638061523438
run_10_repetition_22,DONE,3,8B,WiC,14300.146545410156
run_7_repetition_18,DONE,3,8B,CB,12799.200012207031
run_13_repetition_11,DONE,3.1,8B,CB,9410.668884277344
run_26_repetition_27,DONE,3.2,3B,COPA,6013.249206542969
run_1_repetition_8,DONE,2,7B,CB,12165.967102050781
run_26_repetition_21,DONE,3.2,3B,COPA,5760.729064941406
run_19_repetition_13,DONE,3.2,1B,CB,3749.1803588867188
run_23_repetition_29,DONE,3.2,1B,WSC,2122.732666015625
run_12_repetition_27,DONE,3.1,8B,BoolQ,8135.4017333984375
run_6_repetition_16,DONE,3,8B,BoolQ,7212.250671386719
run_18_repetition_6,DONE,3.2,1B,BoolQ,3603.252197265625
run_24_repetition_26,DONE,3.2,3B,BoolQ,5442.648376464844
run_5_repetition_26,DONE,2,7B,WSC,10264.302734375
run_3_repetition_3,DONE,2,7B,RTE,11016.262145996094
run_27_repetition_18,DONE,3.2,3B,RTE,5857.43603515625
run_0_repetition_15,DONE,2,7B,BoolQ,250060.67639160156
run_6_repetition_0,DONE,3,8B,BoolQ,7177.6298828125
run_12_repetition_2,DONE,3.1,8B,BoolQ,8174.462951660156
run_7_repetition_24,DONE,3,8B,CB,12767.078002929688
run_28_repetition_10,DONE,3.2,3B,WiC,6209.3428955078125
run_11_repetition_21,DONE,3,8B,WSC,7551.3453369140625
run_17_repetition_0,DONE,3.1,8B,WSC,7311.087890625
run_21_repetition_18,DONE,3.2,1B,RTE,2587.1810302734375
run_4_repetition_4,DONE,2,7B,WiC,11619.029113769531
run_28_repetition_28,DONE,3.2,3B,WiC,6320.3018798828125
run_19_repetition_23,DONE,3.2,1B,CB,3794.9132690429688
run_11_repetition_17,DONE,3,8B,WSC,7441.781555175781
run_13_repetition_19,DONE,3.1,8B,CB,9383.824340820312
run_24_repetition_5,DONE,3.2,3B,BoolQ,5437.18359375
run_28_repetition_25,DONE,3.2,3B,WiC,6285.848205566406
run_26_repetition_5,DONE,3.2,3B,COPA,5796.982666015625
run_3_repetition_1,DONE,2,7B,RTE,10985.898010253906
run_27_repetition_26,DONE,3.2,3B,RTE,5740.6195068359375
run_22_repetition_2,DONE,3.2,1B,WiC,2976.2365112304688
run_13_repetition_3,DONE,3.1,8B,CB,9224.333740234375
