Unnamed: 0;__run_id;__done;generation;model_size;task;energy;run;rep;duration_ms;cpu_joules;gpu_joules;energy_consumption_total_joules;response_length_sum_characters;response_token_count;accuracy
23;run_1_repetition_19;DONE;2.0;7B;CB;12145.831665039062;1;19;211869;11340.98388671875;76533.71528671881;87874.69917343756;61276;13678;1.0
24;run_16_repetition_13;DONE;3.1;8B;WiC;14169.642700195312;16;13;245904;13317.90887451172;87702.41667451164;101020.32554902336;63916;14562;1.0
25;run_23_repetition_8;DONE;3.2;1B;WSC;2152.8494873046875;23;8;26810;1584.5966186523438;8507.215818652341;10091.812437304685;31493;7815;1.0
26;run_25_repetition_2;DONE;3.2;3B;CB;6819.948913574219;25;2;112841;6175.6114501953125;38262.55345019531;44438.16490039062;69734;14123;1.0
27;run_7_repetition_19;DONE;3.0;8B;CB;12716.1669921875;7;19;221890;11834.44989013672;79132.11009013683;90966.55998027357;65239;13110;1.0
28;run_22_repetition_6;DONE;3.2;1B;WiC;3129.5008544921875;22;6;41812;2556.9810180664062;13421.168418066409;15978.149436132811;55147;12330;1.0
29;run_23_repetition_5;DONE;3.2;1B;WSC;2031.147521972656;23;5;27809;1523.8953247070604;8607.408924707057;10131.304249414115;31493;7815;1.0
30;run_4_repetition_12;DONE;2.0;7B;WiC;11739.497497558594;4;12;202894;10982.770385742188;73268.11918574231;84250.8895714845;53640;13138;1.0
31;run_2_repetition_16;DONE;2.0;7B;COPA;11012.163330078123;2;16;191678;10200.39971923828;69180.74191923834;79381.14163847662;53692;12554;1.0
32;run_18_repetition_18;DONE;3.2;1B;BoolQ;3166.7537841796875;18;18;43823;2593.418029785156;14138.125229785152;16731.54325957031;60358;12792;1.0
33;run_15_repetition_5;DONE;3.1;8B;RTE;9210.091064453123;15;5;156857;8373.498413085908;55604.756413085874;63978.25482617178;46036;9180;1.0
34;run_27_repetition_20;DONE;3.2;3B;RTE;5658.7435302734375;27;20;88831;4945.6419677734375;30422.92416777343;35368.56613554687;56663;11274;1.0
35;run_8_repetition_8;DONE;3.0;8B;COPA;11542.850036621094;8;8;199888;10722.681457519502;70820.29085751949;81542.97231503899;55441;11806;1.0
36;run_0_repetition_23;DONE;2.0;7B;BoolQ;250004.59002685547;0;23;211686;11315.426696777344;76526.7672967773;87842.19399355464;57714;13756;1.0
37;run_13_repetition_9;DONE;3.1;8B;CB;9360.00830078125;13;9;159674;8483.834838867188;56955.938838867165;65439.77367773435;46101;9343;1.0
38;run_24_repetition_28;DONE;3.2;3B;BoolQ;5988.512573242188;24;28;94843;5291.502136230474;32248.59293623048;37540.09507246096;55166;11957;1.0
39;run_16_repetition_21;DONE;3.1;8B;WiC;14096.121215820312;16;21;246880;13296.727783203123;88061.18378320319;101357.91156640631;63916;14562;1.0
40;run_23_repetition_26;DONE;3.2;1B;WSC;2120.2576904296875;23;26;26807;1563.7706298828198;8580.846029882821;10144.61665976564;31493;7815;1.0
41;run_11_repetition_16;DONE;3.0;8B;WSC;7538.142395019531;11;16;126656;6729.6875;44587.99630000004;51317.68380000004;30766;7419;1.0
42;run_5_repetition_19;DONE;2.0;7B;WSC;10487.869140625;5;19;177890;9646.512329101555;64259.60492910149;73906.11725820304;45028;11578;1.0
43;run_23_repetition_20;DONE;3.2;1B;WSC;2091.998107910156;23;20;27816;1576.5130615234375;8685.821061523431;10262.334123046869;31493;7815;1.0
44;run_17_repetition_4;DONE;3.1;8B;WSC;7471.349304199219;17;4;121842;6601.10217285157;43320.85077285155;49921.95294570312;29189;7126;1.0
45;run_11_repetition_1;DONE;3.0;8B;WSC;7453.319763183594;11;1;126654;6635.9971923828125;44387.9643923828;51023.96158476561;30766;7419;1.0
46;run_14_repetition_20;DONE;3.1;8B;COPA;12164.185791015623;14;20;210687;11271.945922851562;74614.3549228517;85886.30084570326;59483;12455;1.0
47;run_27_repetition_13;DONE;3.2;3B;RTE;5480.66357421875;27;13;89838;4814.280029296875;30277.575029296848;35091.85505859372;56663;11274;1.0
48;run_11_repetition_27;DONE;3.0;8B;WSC;7483.596801757812;11;27;125851;6600.443725585967;44476.30472558594;51076.74845117191;30766;7419;1.0
49;run_11_repetition_0;DONE;3.0;8B;WSC;7600.621154785156;11;0;126870;6775.600769042954;45018.218369042974;51793.81913808593;30766;7419;1.0
50;run_1_repetition_7;DONE;2.0;7B;CB;12057.496704101562;1;7;211868;11286.26361083983;76400.61221083994;87686.87582167977;61276;13678;1.0
51;run_3_repetition_23;DONE;2.0;7B;RTE;10883.710510253906;3;23;188890;10070.40625;68017.99445000014;78088.40070000014;54273;12250;1.0
52;run_17_repetition_17;DONE;3.1;8B;WSC;7456.1820068359375;17;17;122855;6626.781677246094;43673.766677246094;50300.54835449219;29189;7126;1.0
53;run_27_repetition_28;DONE;3.2;3B;RTE;5521.812316894531;27;28;88838;4808.4801025390625;30153.90010253906;34962.38020507812;56663;11274;1.0
54;run_17_repetition_28;DONE;3.1;8B;WSC;7304.603271484375;17;28;122644;6483.298522949219;43840.98712294919;50324.28564589841;29189;7126;1.0
55;run_14_repetition_3;DONE;3.1;8B;COPA;12154.688293457031;14;3;210686;11289.375854492188;75088.10345449213;86377.47930898432;59483;12455;1.0
56;run_14_repetition_0;DONE;3.1;8B;COPA;12186.902465820312;14;0;210668;11298.433959960908;75066.95775996086;86365.39171992177;59483;12455;1.0
57;run_7_repetition_8;DONE;3.0;8B;CB;12863.042785644531;7;8;222701;12020.496704101562;79619.78050410164;91640.2772082032;65239;13110;1.0
58;run_10_repetition_21;DONE;3.0;8B;WiC;14384.587097167969;10;21;250688;13534.05792236331;89414.33652236336;102948.39444472668;63663;14810;1.0
59;run_3_repetition_14;DONE;2.0;7B;RTE;10909.024536132812;3;14;188855;10087.02215576172;68146.91195576174;78233.93411152346;54273;12250;1.0
60;run_14_repetition_14;DONE;3.1;8B;COPA;12296.770874023438;14;14;210671;11429.511291503906;75197.63189150393;86627.14318300784;59483;12455;1.0
61;run_13_repetition_24;DONE;3.1;8B;CB;9385.664489746094;13;24;160662;8554.62353515625;57331.88993515625;65886.5134703125;46101;9343;1.0
62;run_12_repetition_17;DONE;3.1;8B;BoolQ;253964.46807861328;12;17;137673;7290.073974609375;49207.31237460941;56497.38634921879;37425;8089;1.0
63;run_3_repetition_12;DONE;2.0;7B;RTE;10886.851440429688;3;12;188864;10081.532226562502;68001.25662656236;78082.78885312486;54273;12250;1.0
64;run_7_repetition_3;DONE;3.0;8B;CB;12750.894470214844;7;3;222882;11918.84869384766;79628.53149384772;91547.38018769538;65239;13110;1.0
65;run_15_repetition_18;DONE;3.1;8B;RTE;9244.36572265625;15;18;156850;8375.404724121101;55890.00912412107;64265.41384824217;46036;9180;1.0
66;run_20_repetition_6;DONE;3.2;1B;COPA;3087.5601806640625;20;6;42814;2531.2019042968823;13801.502904296887;16332.70480859377;59808;12531;1.0
67;run_3_repetition_18;DONE;2.0;7B;RTE;10816.717834472656;3;18;188689;10016.369018554688;67903.69861855471;77920.0676371094;54273;12250;1.0
68;run_15_repetition_11;DONE;3.1;8B;RTE;9364.962524414062;15;11;156658;8495.227355957039;55858.25335595705;64353.48071191409;46036;9180;1.0
69;run_4_repetition_13;DONE;2.0;7B;WiC;11760.443359375;4;13;201880;10933.180297851562;72971.3188978516;83904.49919570316;53640;13138;1.0
70;run_9_repetition_6;DONE;3.0;8B;RTE;11370.650817871094;9;6;198869;10515.17700195314;70922.77000195312;81437.94700390626;58692;11756;1.0
71;run_5_repetition_9;DONE;2.0;7B;WSC;10338.947509765623;5;9;178857;9537.44042968747;64040.154429687405;73577.59485937488;45028;11578;1.0
72;run_19_repetition_22;DONE;3.2;1B;CB;3703.1531372070312;19;22;51820;3167.0064697265625;16631.740069726548;19798.74653945311;74448;15051;1.0
73;run_13_repetition_7;DONE;3.1;8B;CB;9327.59033203125;13;7;159653;8455.490417480469;56422.956617480515;64878.447034960984;46101;9343;1.0
74;run_24_repetition_24;DONE;3.2;3B;BoolQ;5869.79296875;24;24;94838;5174.681518554702;32266.33811855469;37441.01963710939;55166;11957;1.0
75;run_2_repetition_27;DONE;2.0;7B;COPA;10838.265441894531;2;27;191863;10027.928955078123;68360.02915507808;78387.9581101562;53692;12554;1.0
76;run_23_repetition_6;DONE;3.2;1B;WSC;2133.8853759765625;23;6;26812;1566.0137329101562;8492.937332910162;10058.951065820318;31493;7815;1.0
77;run_14_repetition_16;DONE;3.1;8B;COPA;12051.380615234377;14;16;210699;11195.167541503906;74381.82854150386;85576.99608300776;59483;12455;1.0
78;run_29_repetition_14;DONE;3.2;3B;WSC;4372.1982421875;29;14;66819;3682.1703491210938;22620.037549121113;26302.207898242206;34580;8355;1.0
79;run_0_repetition_7;DONE;2.0;7B;BoolQ;11859.63543701172;0;7;211875;11069.37255859375;76031.10035859363;87100.47291718738;57714;13756;1.0
80;run_7_repetition_5;DONE;3.0;8B;CB;12649.623779296877;7;5;222700;11814.267578125;79106.87357812501;90921.14115625;65239;13110;1.0
81;run_6_repetition_27;DONE;3.0;8B;BoolQ;7353.532287597656;6;27;120839;6495.40594482419;43187.888944824175;49683.294889648365;33226;7085;1.0
82;run_26_repetition_29;DONE;3.2;3B;COPA;5623.612548828125;26;29;89636;4900.203979492246;30339.54717949226;35239.75115898451;54109;11384;1.0
83;run_1_repetition_21;DONE;2.0;7B;CB;12079.772338867188;1;21;210867;11241.08966064456;75977.80126064448;87218.89092128904;61276;13678;1.0
84;run_20_repetition_3;DONE;3.2;1B;COPA;3009.508850097656;20;3;42825;2453.7271118164062;13732.6129118164;16186.340023632803;59808;12531;1.0
85;run_12_repetition_25;DONE;3.1;8B;BoolQ;8084.831115722656;12;25;137656;7226.347900390625;48925.31910039064;56151.667000781265;37425;8089;1.0
86;run_15_repetition_29;DONE;3.1;8B;RTE;9191.894287109377;15;29;156867;8341.258178710967;55702.51877871096;64043.77695742193;46036;9180;1.0
87;run_3_repetition_27;DONE;2.0;7B;RTE;10838.213989257812;3;27;188877;10043.466613769502;68016.28761376948;78059.75422753899;54273;12250;1.0
88;run_3_repetition_5;DONE;2.0;7B;RTE;251134.97509765625;3;5;188878;10171.687622070312;68138.6552220704;78310.34284414072;54273;12250;1.0
89;run_23_repetition_2;DONE;3.2;1B;WSC;2095.940673828125;23;2;27809;1595.4826049804688;8837.88380498047;10433.36640996094;31493;7815;1.0
90;run_26_repetition_24;DONE;3.2;3B;COPA;5531.080322265625;26;24;89839;4852.296142578125;30259.062742578153;35111.35888515628;54109;11384;1.0
91;run_15_repetition_12;DONE;3.1;8B;RTE;9261.074645996094;15;12;156667;8397.62756347656;55718.88816347659;64116.515726953156;46036;9180;1.0
92;run_13_repetition_21;DONE;3.1;8B;CB;9270.92236328125;13;21;159869;8419.063354492188;56816.35695449216;65235.42030898434;46101;9343;1.0
93;run_19_repetition_3;DONE;3.2;1B;CB;3534.5128173828125;19;3;51823;2987.7907104492188;16369.777510449214;19357.568220898433;74448;15051;1.0
94;run_11_repetition_29;DONE;3.0;8B;WSC;7461.129821777344;11;29;126856;6669.097961425781;44617.37776142581;51286.47572285159;30766;7419;1.0
95;run_26_repetition_10;DONE;3.2;3B;COPA;5665.720275878906;26;10;89635;4967.262573242195;30301.83977324219;35269.10234648439;54109;11384;1.0
96;run_29_repetition_20;DONE;3.2;3B;WSC;4186.123718261719;29;20;66818;3507.1643676757812;22401.05656767579;25908.220935351575;34580;8355;1.0
97;run_14_repetition_28;DONE;3.1;8B;COPA;12036.104919433594;14;28;210694;11168.678344726562;74439.44034472652;85608.11868945308;59483;12455;1.0
98;run_22_repetition_3;DONE;3.2;1B;WiC;3030.8048706054688;22;3;42821;2526.970947265625;13632.814947265626;16159.785894531253;55147;12330;1.0
99;run_8_repetition_12;DONE;3.0;8B;COPA;11388.262084960938;8;12;198669;10512.73193359375;70104.61293359382;80617.34486718757;55441;11806;1.0
100;run_18_repetition_5;DONE;3.2;1B;BoolQ;3213.891906738281;18;5;43822;2662.795715332046;14241.474315332038;16904.270030664084;60358;12792;1.0
101;run_13_repetition_22;DONE;3.1;8B;CB;9200.2138671875;13;22;159873;8357.700622558608;56594.24762255859;64951.9482451172;46101;9343;1.0
102;run_9_repetition_13;DONE;3.0;8B;RTE;11357.433227539062;9;13;198883;10514.549865722656;70714.67886572272;81229.22873144537;58692;11756;1.0
103;run_26_repetition_11;DONE;3.2;3B;COPA;5568.146362304688;26;11;90845;4900.785400390625;30691.942200390615;35592.72760078124;54109;11384;1.0
104;run_23_repetition_9;DONE;3.2;1B;WSC;2062.6148681640625;23;9;26808;1502.802734375;8436.997534375001;9939.80026875;31493;7815;1.0
105;run_14_repetition_1;DONE;3.1;8B;COPA;11865.077392578123;14;1;211878;11046.030944824204;74521.24594482414;85567.27688964835;59483;12455;1.0
106;run_9_repetition_26;DONE;3.0;8B;RTE;11500.696411132812;9;26;198872;10630.913269042969;70795.02046904292;81425.93373808589;58692;11756;1.0
107;run_19_repetition_19;DONE;3.2;1B;CB;3678.13037109375;19;19;51817;3127.418029785156;16610.228229785156;19737.646259570312;74448;15051;1.0
108;run_27_repetition_7;DONE;3.2;3B;RTE;5438.95458984375;27;7;88835;4727.0848388671875;29940.12863886715;34667.213477734345;56663;11274;1.0
109;run_7_repetition_4;DONE;3.0;8B;CB;12734.97100830078;7;4;222908;11922.838745117188;79029.11754511726;90951.95629023443;65239;13110;1.0
110;run_11_repetition_4;DONE;3.0;8B;WSC;7443.956420898437;11;4;125866;6585.479919433594;44576.051119433585;51161.53103886718;30766;7419;1.0
111;run_8_repetition_20;DONE;3.0;8B;COPA;11601.971557617188;8;20;199890;10779.820861816375;71269.68006181637;82049.50092363275;55441;11806;1.0
112;run_10_repetition_24;DONE;3.0;8B;WiC;14047.86065673828;10;24;250892;13218.797119140596;89135.16131914055;102353.95843828114;63663;14810;1.0
113;run_18_repetition_10;DONE;3.2;1B;BoolQ;3205.431701660156;18;10;43814;2653.5602416992188;14237.900841699207;16891.461083398426;60358;12792;1.0
114;run_12_repetition_0;DONE;3.1;8B;BoolQ;8129.939514160156;12;0;137855;7281.516540527344;49186.154340527384;56467.67088105473;37425;8089;1.0
115;run_8_repetition_9;DONE;3.0;8B;COPA;11606.300415039062;8;9;199684;10783.421997070312;71204.12479707028;81987.5467941406;55441;11806;1.0
116;run_4_repetition_6;DONE;2.0;7B;WiC;11808.867248535156;4;6;201689;10946.554382324248;72796.23018232413;83742.78456464838;53640;13138;1.0
117;run_6_repetition_25;DONE;3.0;8B;BoolQ;254773.81231689453;6;25;121845;6535.886962890596;43576.85576289059;50112.74272578119;33226;7085;1.0
118;run_25_repetition_9;DONE;3.2;3B;CB;6720.6494140625;25;9;111836;6009.578552246094;38270.30095224611;44279.8795044922;69734;14123;1.0
119;run_28_repetition_6;DONE;3.2;3B;WiC;5981.716857910156;28;6;96826;5310.223266601564;32776.893466601556;38087.11673320312;53139;12220;1.0
120;run_1_repetition_2;DONE;2.0;7B;CB;12145.652587890623;1;2;210670;11303.139282226562;75883.92768222657;87187.06696445313;61276;13678;1.0
121;run_14_repetition_25;DONE;3.1;8B;COPA;12130.450073242188;14;25;211677;11325.066101074211;75384.72290107419;86709.7890021484;59483;12455;1.0
122;run_18_repetition_15;DONE;3.2;1B;BoolQ;3219.97119140625;18;15;43820;2660.31298828125;14063.065388281242;16723.37837656249;60358;12792;1.0
123;run_11_repetition_23;DONE;3.0;8B;WSC;7456.599731445312;11;23;126847;6646.305297851555;44354.39689785152;51000.702195703074;30766;7419;1.0
124;run_15_repetition_3;DONE;3.1;8B;RTE;9199.390258789062;15;3;156666;8347.939208984375;55847.35800898436;64195.297217968735;46036;9180;1.0
125;run_4_repetition_26;DONE;2.0;7B;WiC;11731.52001953125;4;26;201690;10904.99774169922;72938.33634169934;83843.33408339856;53640;13138;1.0
126;run_28_repetition_26;DONE;3.2;3B;WiC;6037.652038574219;28;26;96845;5360.48291015625;32940.44411015626;38300.92702031251;53139;12220;1.0
127;run_5_repetition_6;DONE;2.0;7B;WSC;10419.409240722656;5;6;178877;9654.713989257798;64582.43598925786;74237.14997851566;45028;11578;1.0
128;run_11_repetition_7;DONE;3.0;8B;WSC;7507.065612792969;11;7;125863;6631.170959472642;44634.53075947263;51265.701718945274;30766;7419;1.0
129;run_8_repetition_29;DONE;3.0;8B;COPA;11494.222412109377;8;29;199869;10684.46142578125;70844.61022578116;81529.07165156241;55441;11806;1.0
130;run_11_repetition_26;DONE;3.0;8B;WSC;7597.013916015625;11;26;125842;6710.710754394546;44672.32495439458;51383.03570878912;30766;7419;1.0
131;run_21_repetition_14;DONE;3.2;1B;RTE;2817.3829345703125;21;14;38815;2292.293701171875;12386.600301171877;14678.89400234375;55516;11165;1.0
132;run_5_repetition_12;DONE;2.0;7B;WSC;10294.549377441406;5;12;177896;9494.011901855469;64000.629701855425;73494.64160371089;45028;11578;1.0
133;run_22_repetition_0;DONE;3.2;1B;WiC;2937.8486328125;22;0;41816;2369.641357421875;13401.042757421872;15770.684114843749;55147;12330;1.0
134;run_1_repetition_29;DONE;2.0;7B;CB;12134.828979492188;1;29;210692;11300.469848632812;75720.29184863277;87020.76169726558;61276;13678;1.0
135;run_16_repetition_23;DONE;3.1;8B;WiC;14178.966186523438;16;23;245879;13318.04931640625;87638.61831640628;100956.66763281252;63916;14562;1.0
136;run_18_repetition_7;DONE;3.2;1B;BoolQ;3050.767822265625;18;7;43814;2500.2752075195312;14091.197607519523;16591.47281503906;60358;12792;1.0
137;run_15_repetition_17;DONE;3.1;8B;RTE;9238.687255859377;15;17;156857;8373.35888671872;55495.22008671873;63868.57897343745;46036;9180;1.0
138;run_24_repetition_0;DONE;3.2;3B;BoolQ;6034.503967285156;24;0;94828;5335.831115722685;32463.662715722676;37799.49383144536;55166;11957;1.0
139;run_21_repetition_27;DONE;3.2;1B;RTE;2800.631591796875;21;27;38813;2276.625427246123;12318.815027246128;14595.44045449225;55516;11165;1.0
140;run_26_repetition_16;DONE;3.2;3B;COPA;5471.419006347656;26;16;89836;4775.203063964844;30174.339863964873;34949.54292792972;54109;11384;1.0
141;run_27_repetition_23;DONE;3.2;3B;RTE;5583.937377929688;27;23;89832;4932.327880859375;30518.491680859363;35450.81956171874;56663;11274;1.0
142;run_11_repetition_9;DONE;3.0;8B;WSC;7613.404296875;11;9;125848;6749.353515625;44441.77931562499;51191.13283124999;30766;7419;1.0
143;run_24_repetition_22;DONE;3.2;3B;BoolQ;5429.927734375;24;22;86832;4747.875305175752;29736.473905175735;34484.34921035149;51178;10942;1.0
144;run_5_repetition_28;DONE;2.0;7B;WSC;10324.38153076172;5;28;177854;9490.672668457031;64130.25846845715;73620.93113691418;45028;11578;1.0
145;run_28_repetition_29;DONE;3.2;3B;WiC;6318.585876464844;28;29;100829;5633.039489746065;34389.187089746054;40022.22657949212;55758;12758;1.0
146;run_7_repetition_27;DONE;3.0;8B;CB;249237.0773315429;7;27;222883;12076.30371093753;79839.5191109375;91915.82282187504;65239;13110;1.0
147;run_17_repetition_14;DONE;3.1;8B;WSC;7349.536376953125;17;14;121838;6463.430358886719;43564.2207588867;50027.65111777342;29189;7126;1.0
148;run_27_repetition_10;DONE;3.2;3B;RTE;5728.850036621094;27;10;92625;5036.908996582033;31292.50159658203;36329.410593164066;58703;11647;1.0
149;run_22_repetition_26;DONE;3.2;1B;WiC;3042.3815307617188;22;26;42819;2501.4638671875036;13658.692667187504;16160.156534375008;55242;12413;1.0
150;run_10_repetition_29;DONE;3.0;8B;WiC;14291.00390625;10;29;250894;13464.400573730463;88253.69857373046;101718.09914746092;63663;14810;1.0
151;run_26_repetition_14;DONE;3.2;3B;COPA;5928.216125488281;26;14;93827;5233.2308349609375;32267.058234960932;37500.28906992187;56710;11903;1.0
152;run_23_repetition_7;DONE;3.2;1B;WSC;2147.4373779296875;23;7;27809;1624.424865722649;8835.257665722651;10459.6825314453;32024;7910;1.0
153;run_20_repetition_8;DONE;3.2;1B;COPA;3219.9132690429688;20;8;44819;2690.0462036132885;14311.951203613286;17001.997407226576;63385;13054;1.0
154;run_12_repetition_14;DONE;3.1;8B;BoolQ;8032.549926757812;12;14;137839;7184.647521972649;49076.097921972614;56260.74544394526;37425;8089;1.0
155;run_4_repetition_21;DONE;2.0;7B;WiC;11627.89617919922;4;21;201671;10801.34197998046;72763.08177998046;83564.42375996092;53640;13138;1.0
156;run_16_repetition_27;DONE;3.1;8B;WiC;14105.545532226562;16;27;245704;13238.059692382812;87876.84909238275;101114.90878476556;63916;14562;1.0
157;run_13_repetition_2;DONE;3.1;8B;CB;9601.91943359375;13;2;160867;8790.225219726548;57577.648619726584;66367.87383945312;46101;9343;1.0
158;run_25_repetition_27;DONE;3.2;3B;CB;6818.9342041015625;25;27;108643;6093.172912597642;37106.134912597685;43199.30782519533;67961;13729;1.0
159;run_10_repetition_28;DONE;3.0;8B;WiC;14539.004272460938;10;28;250705;13685.28155517578;89669.56615517563;103354.84771035142;63663;14810;1.0
160;run_28_repetition_4;DONE;3.2;3B;WiC;6238.708251953125;28;4;100642;5539.417419433579;34532.34561943362;40071.7630388672;55758;12758;1.0
161;run_10_repetition_0;DONE;3.0;8B;WiC;14209.624450683594;10;0;250896;13363.360168457031;89534.14236845725;102897.50253691428;63663;14810;1.0
162;run_13_repetition_18;DONE;3.1;8B;CB;9274.810424804688;13;18;159870;8417.830017089844;57426.51681708991;65844.34683417976;46101;9343;1.0
163;run_18_repetition_9;DONE;3.2;1B;BoolQ;3589.0538330078125;18;9;51818;3016.4281616210938;16751.872361621095;19768.30052324219;71714;15104;1.0
164;run_1_repetition_12;DONE;2.0;7B;CB;12180.809143066406;1;12;211875;11378.439880371094;76286.08488037107;87664.52476074216;61276;13678;1.0
165;run_26_repetition_28;DONE;3.2;3B;COPA;5885.6119384765625;26;28;94831;5211.592102050752;32216.206302050778;37427.79840410153;56710;11903;1.0
166;run_21_repetition_11;DONE;3.2;1B;RTE;2666.479858398437;21;11;35818;2109.05078125;11396.97998125;13506.0307625;51479;10444;1.0
167;run_16_repetition_0;DONE;3.1;8B;WiC;14244.747131347656;16;0;245883;13377.949096679688;87710.69209667963;101088.64119335932;63916;14562;1.0
168;run_13_repetition_6;DONE;3.1;8B;CB;9444.9287109375;13;6;160866;8638.653686523408;57440.06988652345;66078.72357304685;46101;9343;1.0
169;run_5_repetition_3;DONE;2.0;7B;WSC;10535.49267578125;5;3;177867;9712.064697265623;64230.0604972656;73942.12519453123;45028;11578;1.0
170;run_1_repetition_15;DONE;2.0;7B;CB;12259.182495117188;1;15;211890;11464.018676757842;76605.86127675785;88069.87995351569;61276;13678;1.0
171;run_27_repetition_1;DONE;3.2;3B;RTE;5815.0411376953125;27;1;92840;5120.197814941406;31598.612414941403;36718.81022988281;58703;11647;1.0
172;run_6_repetition_12;DONE;3.0;8B;BoolQ;7314.132141113281;6;12;120851;6437.53631591794;43109.556315917944;49547.09263183588;33226;7085;1.0
173;run_2_repetition_17;DONE;2.0;7B;COPA;251009.77642822263;2;17;191661;10287.30010986328;69009.63490986322;79296.9350197265;53692;12554;1.0
174;run_1_repetition_22;DONE;2.0;7B;CB;12202.636901855469;1;22;211675;11396.861938476562;76238.68193847651;87635.54387695307;61276;13678;1.0
175;run_25_repetition_7;DONE;3.2;3B;CB;6667.915100097656;25;7;108653;5961.4884033203125;36913.447203320306;42874.93560664062;67961;13729;1.0
176;run_27_repetition_5;DONE;3.2;3B;RTE;5852.374206542969;27;5;92840;5183.285339355469;31679.843539355476;36863.128878710944;58703;11647;1.0
177;run_29_repetition_16;DONE;3.2;3B;WSC;4448.877746582031;29;16;68826;3761.259765625;23269.112365625017;27030.372131250017;35494;8579;1.0
178;run_29_repetition_21;DONE;3.2;3B;WSC;4426.649963378906;29;21;68820;3734.255798339844;23212.076798339847;26946.33259667969;35494;8579;1.0
179;run_21_repetition_8;DONE;3.2;1B;RTE;2618.055419921875;21;8;36810;2125.631774902344;11583.057774902349;13708.689549804692;51479;10444;1.0
180;run_10_repetition_5;DONE;3.0;8B;WiC;14160.21484375;10;5;249886;13289.026977539062;88443.57217753917;101732.59915507823;63663;14810;1.0
