run,repetition,__done,generation,model_size,task,tokens,duration_ms,time(s),energy,accuracy
2,1,DONE,2.0,7B,COPA,12554,191886,"191,89",79270.62803964835,0.9714285714285715
25,25,DONE,3.2,3B,CB,14062,111835,"111,84",44392.41377675782,0.96
20,12,DONE,3.2,1B,COPA,11304,38819,"38,82",14782.922011718752,0.9
25,16,DONE,3.2,3B,CB,14062,111848,"111,85",44494.52951816409,0.975
14,10,DONE,3.1,8B,COPA,12455,210880,"210,88",85977.23623183586,1.0
0,14,DONE,2.0,7B,BoolQ,13756,211879,"211,88",87854.24503925782,0.9204545454545455
8,17,DONE,3.0,8B,COPA,11806,199878,"199,88",82196.15876308594,0.9111111111111111
10,20,DONE,3.0,8B,WiC,14810,250901,"250,90",103664.75726562511,0.9550000000000001
6,4,DONE,3.0,8B,BoolQ,7085,120839,"120,84",49885.89663925777,0.9714285714285715
22,4,DONE,3.2,1B,WiC,12666,43814,"43,81",16592.57667128903,0.975
9,9,DONE,3.0,8B,RTE,11756,199662,"199,66",81104.4602572264,1.0
8,28,DONE,3.0,8B,COPA,11806,198865,"198,87",81351.23044570316,0.8733333333333334
27,12,DONE,3.2,3B,RTE,11415,90828,"90,83",35495.936983789084,1.0
7,23,DONE,3.0,8B,CB,13110,222691,"222,69",90328.74158203125,0.9714285714285715
6,20,DONE,3.0,8B,BoolQ,7085,120844,"120,84",49416.94533027341,1.0
28,2,DONE,3.2,3B,WiC,11831,93843,"93,84",36610.44376757812,1.0
11,22,DONE,3.0,8B,WSC,7419,125862,"125,86",50774.103644921866,0.8833333333333332
28,7,DONE,3.2,3B,WiC,11831,93833,"93,83",37029.332013085936,1.0
12,15,DONE,3.1,8B,BoolQ,8089,137869,"137,87",55658.04326425778,0.9333333333333332
5,1,DONE,2.0,7B,WSC,11578,178658,"178,66",73570.45610292986,0.96
21,17,DONE,3.2,1B,RTE,10983,37818,"37,82",14241.87757558594,0.6844444444444445
13,16,DONE,3.1,8B,CB,9343,159879,"159,88",64046.98709511733,0.96
10,4,DONE,3.0,8B,WiC,14810,250879,"250,88",101502.5981513674,0.9155555555555555
17,29,DONE,3.1,8B,WSC,7126,122839,"122,84",49359.584375000035,0.8333333333333333
14,8,DONE,3.1,8B,COPA,12455,210900,"210,90",85650.46532285151,0.9555555555555555
1,28,DONE,2.0,7B,CB,13678,211670,"211,67",87202.38929374979,1.0
2,28,DONE,2.0,7B,COPA,12554,191671,"191,67",78681.09148535164,0.8
8,15,DONE,3.0,8B,COPA,11806,199680,"199,68",81024.51592343746,0.8822222222222222
0,17,DONE,2.0,7B,BoolQ,13756,211680,"211,68",86773.31433515619,0.9636363636363636
22,20,DONE,3.2,1B,WiC,12666,43816,"43,82",16465.213903710945,0.9666666666666668
10,6,DONE,3.0,8B,WiC,14810,250901,"250,90",101133.33813203155,0.9777777777777779
2,25,DONE,2.0,7B,COPA,12554,191675,"191,68",79072.29101562507,1.0
15,10,DONE,3.1,8B,RTE,9180,156649,"156,65",63617.77856015621,0.96
26,13,DONE,3.2,3B,COPA,11640,92829,"92,83",36147.98985976564,1.0
19,24,DONE,3.2,1B,CB,14801,50622,"50,62",19062.658837890624,0.9
9,16,DONE,3.0,8B,RTE,11756,198701,"198,70",80429.47103320307,1.0
22,7,DONE,3.2,1B,WiC,12666,42617,"42,62",16039.874967968715,0.975
27,21,DONE,3.2,3B,RTE,11415,90831,"90,83",35357.51185937502,1.0
3,6,DONE,2.0,7B,RTE,12250,188890,"188,89",77491.35136210939,0.8800000000000001
9,12,DONE,3.0,8B,RTE,11756,198872,"198,87",80248.90413828124,0.9633333333333333
2,22,DONE,2.0,7B,COPA,12554,192894,"192,89",79170.29285703127,1.0
